"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"19/05/2025","208,78","207,91","209,48","204,26","46,14M","-1,17%"
"16/05/2025","211,26","212,36","212,57","209,77","54,74M","-0,09%"
"15/05/2025","211,45","210,95","212,96","209,54","45,03M","-0,41%"
"14/05/2025","212,33","212,43","213,94","210,58","49,33M","-0,28%"
"13/05/2025","212,93","210,43","213,40","209,00","51,91M","1,02%"
"12/05/2025","210,79","210,97","211,27","206,75","63,78M","6,18%"
"09/05/2025","198,53","199,00","200,54","197,54","36,45M","0,53%"
"08/05/2025","197,49","197,72","200,05","194,68","50,48M","0,63%"
"07/05/2025","196,25","199,17","199,44","193,25","68,62M","-1,14%"
"06/05/2025","198,51","198,21","200,65","197,02","51,22M","-0,19%"
"05/05/2025","198,89","203,10","204,10","198,21","69,02M","-3,15%"
"02/05/2025","205,35","206,09","206,99","202,16","101,01M","-3,74%"
"01/05/2025","213,32","209,08","214,56","208,90","57,37M","0,39%"
"30/04/2025","212,50","209,30","213,58","206,67","52,29M","0,61%"
"29/04/2025","211,21","208,69","212,24","208,37","36,83M","0,51%"
"28/04/2025","210,14","210,00","211,50","207,46","38,74M","0,41%"
"25/04/2025","209,28","206,37","209,75","206,20","38,22M","0,44%"
"24/04/2025","208,37","204,89","208,83","202,94","47,31M","1,84%"
"23/04/2025","204,60","206,00","208,00","202,80","52,93M","2,43%"
"22/04/2025","199,74","196,12","201,59","195,97","52,98M","3,41%"
"21/04/2025","193,16","193,26","193,80","189,81","46,74M","-1,94%"
"17/04/2025","196,98","197,20","198,83","194,42","52,16M","1,39%"
"16/04/2025","194,27","198,36","200,70","192,37","59,73M","-3,89%"
"15/04/2025","202,14","201,85","203,51","199,80","51,34M","-0,19%"
"14/04/2025","202,52","211,44","212,94","201,16","101,35M","2,21%"
"11/04/2025","198,15","186,10","199,54","186,06","87,44M","4,06%"
"10/04/2025","190,42","189,07","194,78","183,00","121,88M","-4,24%"
"09/04/2025","198,85","171,95","200,61","171,89","184,40M","15,33%"
"08/04/2025","172,42","186,70","190,34","169,21","120,86M","-4,98%"
"07/04/2025","181,46","177,20","194,15","174,62","160,47M","-3,67%"
"04/04/2025","188,38","193,89","199,88","187,34","125,91M","-7,29%"
"03/04/2025","203,19","205,54","207,49","201,25","103,42M","-9,25%"
"02/04/2025","223,89","221,32","225,19","221,02","35,91M","0,31%"
"01/04/2025","223,19","219,80","223,68","218,90","36,41M","0,48%"
"31/03/2025","222,13","217,01","225,62","216,23","65,30M","1,94%"
"28/03/2025","217,90","221,67","223,81","217,68","39,82M","-2,66%"
"27/03/2025","223,85","221,39","224,99","220,56","37,09M","1,05%"
"26/03/2025","221,53","223,51","225,02","220,47","34,53M","-0,99%"
"25/03/2025","223,75","220,77","224,10","220,08","34,49M","1,37%"
"24/03/2025","220,73","221,00","221,48","218,58","44,30M","1,13%"
"21/03/2025","218,27","211,56","218,84","211,28","94,13M","1,95%"
"20/03/2025","214,10","213,99","217,49","212,22","48,86M","-0,53%"
"19/03/2025","215,24","214,22","218,76","213,75","54,39M","1,20%"
"18/03/2025","212,69","214,16","215,15","211,49","42,43M","-0,61%"
"17/03/2025","214,00","213,31","215,22","209,97","48,07M","0,24%"
"14/03/2025","213,49","211,25","213,95","209,58","60,11M","1,82%"
"13/03/2025","209,68","215,95","216,84","208,42","61,37M","-3,36%"
"12/03/2025","216,98","220,14","221,75","214,91","62,55M","-1,75%"
"11/03/2025","220,84","223,80","225,84","217,45","76,14M","-2,92%"
"10/03/2025","227,48","235,54","236,16","224,22","72,07M","-4,85%"
"07/03/2025","239,07","235,10","241,37","234,76","46,27M","1,59%"
"06/03/2025","235,33","234,43","237,86","233,16","45,17M","-0,17%"
"05/03/2025","235,74","235,42","236,55","229,23","47,23M","-0,08%"
"04/03/2025","235,93","237,71","240,07","234,68","53,80M","-0,88%"
"03/03/2025","238,03","241,79","244,03","236,11","47,18M","-1,58%"
"28/02/2025","241,84","236,95","242,09","230,20","56,83M","1,91%"
"27/02/2025","237,30","239,41","242,46","237,06","41,15M","-1,27%"
"26/02/2025","240,36","244,33","244,98","239,13","44,43M","-2,70%"
"25/02/2025","247,04","248,00","250,00","244,91","48,01M","-0,02%"
"24/02/2025","247,10","244,93","248,86","244,42","51,33M","0,63%"
"21/02/2025","245,55","245,95","248,69","245,22","53,20M","-0,11%"
"20/02/2025","245,83","244,94","246,78","244,29","32,32M","0,39%"
"19/02/2025","244,87","244,66","246,01","243,16","32,20M","0,16%"
"18/02/2025","244,47","244,15","245,18","241,84","48,82M","-0,05%"
"14/02/2025","244,60","241,25","245,55","240,99","40,90M","1,27%"
"13/02/2025","241,53","236,91","242,34","235,57","53,61M","1,97%"
"12/02/2025","236,87","231,20","236,96","230,68","45,24M","1,83%"
"11/02/2025","232,62","228,20","235,23","228,13","53,72M","2,18%"
"10/02/2025","227,65","229,57","230,59","227,20","33,12M","0,01%"
"07/02/2025","227,63","232,60","234,00","227,26","39,71M","-2,40%"
"06/02/2025","233,22","231,29","233,80","230,43","29,93M","0,32%"
"05/02/2025","232,47","228,53","232,67","228,27","39,66M","-0,14%"
"04/02/2025","232,80","227,25","233,13","226,65","45,07M","2,10%"
