Date,Dernier,Ticker,Rend_J,Prix_Normalise,Momentum_20,Momentum_Signal,Rsi_14,Rsi_Signal,BB_Milieu,BB_Haut,BB_Bas,Z_score,Bollinger_Signal,Anomalie
2024-05-02,173.03,aapl,,100.0,,Hold,,Neutre,,,,,Neutre,
2024-05-03,183.38,aapl,0.05981621684101013,105.98162168410101,,Hold,,Neutre,,,,,Neutre,
2024-05-06,181.71,aapl,-0.009106772821463549,105.0164711321736,,Hold,,Neutre,,,,,Neutre,
2024-05-07,182.4,aapl,0.0037972593693247347,105.41524591111369,,Hold,,Neutre,,,,,Neutre,
2024-05-08,182.74,aapl,0.0018640350877192624,105.61174362827255,,Hold,,Neutre,,,,,Neutre,
2024-05-09,184.57,aapl,0.010014227864725722,106.66936369415707,,Hold,,Neutre,,,,,Neutre,
2024-05-10,183.05,aapl,-0.008235357858806913,105.79090331156446,,Hold,,Neutre,,,,,Neutre,
2024-05-13,186.28,aapl,0.017645452062277966,107.65763162457378,,Hold,,Neutre,,,,,Neutre,
2024-05-14,187.43,aapl,0.006173502254670504,108.32225625614056,,Hold,,Neutre,,,,,Neutre,
2024-05-15,189.72,aapl,0.012217894680680796,109.6457261746518,,Hold,,Neutre,,,,,Neutre,
2024-05-16,189.84,aapl,0.0006325110689437974,109.71507831011964,,Hold,,Neutre,,,,,Neutre,
2024-05-17,189.87,aapl,0.00015802781289497858,109.73241634398659,,Hold,,Neutre,,,,,Neutre,
2024-05-20,191.04,aapl,0.006162110917996566,110.40859966479802,,Hold,,Neutre,,,,,Neutre,
2024-05-21,192.35,aapl,0.006857202680067065,111.16569381032191,,Hold,,Neutre,,,,,Neutre,
2024-05-22,190.9,aapl,-0.007538341564855666,110.32768884008554,,Hold,82.90976058931871,Sell,,,,,Neutre,
2024-05-23,186.88,aapl,-0.021058145625982294,108.00439230191297,,Hold,58.40537944284345,Neutre,,,,,Neutre,
2024-05-24,189.98,aapl,0.016588184931506822,109.79598913483211,,Hold,68.58426966292136,Neutre,,,,,Neutre,
2024-05-28,189.99,aapl,5.263711969694107e-05,109.80176847945444,,Hold,67.5938803894298,Neutre,,,,,Neutre,
2024-05-29,190.29,aapl,0.001579030475288068,109.97514881812403,,Hold,67.53367394333489,Neutre,,,,,Neutre,
2024-05-30,191.29,aapl,0.0052551368963160705,110.553083280356,,Hold,66.23188405797104,Neutre,186.837,196.33109145898538,177.3429085410146,0.9380571104116767,Neutre,
2024-05-31,192.25,aapl,0.005018558210047708,111.1079003640987,11.1079003640987,Buy,72.84011916583911,Sell,187.798,195.0288013678328,180.5671986321672,1.2313987823826316,Neutre,
2024-06-03,194.03,aapl,0.009258777633289972,112.13662370687163,5.8076126076998635,Buy,70.73301230604602,Sell,188.3305,195.7573261266701,180.9036738733299,1.5348413717490452,Neutre,
2024-06-04,194.35,aapl,0.0016492295005927637,112.32156273478586,6.956138902647058,Buy,69.37290033594623,Neutre,188.9625,196.16504596799305,181.75995403200696,1.495998782636354,Neutre,
2024-06-05,195.87,aapl,0.007820941600205966,113.20002311737849,7.384868421052637,Buy,67.99297834991225,Neutre,189.63600000000002,196.7735844358542,182.49841556414586,1.7468094580247024,Neutre,
2024-06-06,194.48,aapl,-0.0070965436258744186,112.39669421487604,6.4244281492831234,Buy,62.636165577342,Neutre,190.22299999999998,196.88802923750842,183.55797076249155,1.2774137511784986,Neutre,
2024-06-07,196.89,aapl,0.012392019744960958,113.7895162688551,6.6749742645066945,Buy,66.92381870781094,Neutre,190.839,197.5810249964407,184.0969750035593,1.7950096605083676,Neutre,
2024-06-10,193.12,aapl,-0.019147747473208354,111.61070334624054,5.501229172357269,Buy,54.4558697514996,Neutre,191.3425,197.06181123935664,185.62318876064336,0.6215783424299002,Neutre,
2024-06-11,207.15,aapl,0.07264913007456508,119.71912385135526,11.203564526519227,Buy,70.52135330005548,Sell,192.38600000000002,201.06562259669465,183.7063774033054,3.4019912353383615,Sell,
2024-06-12,213.07,aapl,0.028578324885348616,123.14049586776858,13.679773782212013,Buy,77.35011102886749,Sell,193.66799999999998,206.04999643795267,181.28600356204728,3.1339049558324783,Sell,
2024-06-13,214.24,aapl,0.005491153142159977,123.81667918858001,12.924309508749744,Buy,86.30573248407644,Sell,194.894,210.15178269053465,179.63621730946537,2.5358861628041858,Sell,
2024-06-14,212.49,aapl,-0.008168409260642218,122.80529387967405,11.931099873577743,Buy,80.97990641343245,Sell,196.0265,212.97363051320426,179.07936948679574,1.9429247903853195,Neutre,Normal
2024-06-17,216.67,aapl,0.019671513953597675,125.22105993180372,14.114920735239899,Buy,82.93827160493827,Sell,197.3665,216.37654972445668,178.35645027554332,2.0308731728529654,Sell,Normal
2024-06-18,214.29,aapl,-0.010984446393132341,123.84557591169161,12.170226130653262,Buy,78.18224518553312,Sell,198.529,218.71714962454848,178.3408503754515,1.561411054813548,Neutre,Normal
2024-06-20,209.68,aapl,-0.02151290307527176,121.18129804080218,9.009617884065513,Buy,69.90690625676557,Neutre,199.39550000000003,219.9512772388868,178.83972276111325,1.0006432625222341,Neutre,Normal
2024-06-21,207.49,aapl,-0.010444486837085099,119.91562156851414,8.690413829229971,Buy,66.06916912695067,Neutre,200.225,220.6759729533057,179.7740270466943,0.7104796448156953,Neutre,Normal
2024-06-24,208.14,aapl,0.0031326810930645266,120.29127896896492,11.37628424657533,Buy,65.24087275869519,Neutre,201.28799999999998,221.01567076175516,181.5603292382448,0.6946587950244542,Neutre,Normal
2024-06-25,209.07,aapl,0.004468146439896348,120.82875801884066,10.04842615012107,Buy,65.69296375266526,Neutre,202.2425,221.50837916499012,182.9766208350099,0.7087659941734608,Neutre,Normal
2024-06-26,213.25,aapl,0.019993303678193852,123.24452407097036,12.242749618400971,Buy,67.53430185633577,Neutre,203.40550000000002,222.36288653429125,184.4481134657088,1.0385925277403272,Neutre,Normal
2024-06-27,214.1,aapl,0.00398593200468933,123.73576836386752,12.512480950128758,Buy,70.01223990208082,Sell,204.596,223.0697485438976,186.12225145610242,1.0289194937796677,Neutre,Normal
2024-06-28,210.62,aapl,-0.01625408687529184,121.72455643530024,10.105076062522889,Buy,63.70533040527056,Neutre,205.5625,223.1042311454414,188.0207688545586,0.576624958855821,Neutre,Normal
2024-07-01,216.75,aapl,0.02910454847592825,125.26729468878229,12.743823146944088,Buy,72.52621544327934,Sell,206.7875,223.82960621403726,189.74539378596273,1.1691629983850333,Neutre,Normal
