"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/01/2026","739,90","742,00","745,00","735,60","30,02K","-0,01%"
"28/01/2026","740,00","732,10","745,00","732,10","31,43K","0,00%"
"27/01/2026","740,00","720,00","740,00","720,00","127,71K","2,76%"
"26/01/2026","720,10","724,00","729,50","718,00","48,50K","-0,73%"
"23/01/2026","725,40","731,90","731,90","725,00","56,13K","-0,63%"
"22/01/2026","730,00","721,10","735,00","721,10","34,90K","1,25%"
"21/01/2026","721,00","726,00","730,00","720,00","23,73K","-1,77%"
"20/01/2026","734,00","735,00","739,90","725,00","53,52K","-0,14%"
"19/01/2026","735,00","735,10","745,00","735,00","26,89K","-1,87%"
"16/01/2026","749,00","736,00","749,80","736,00","105,36K","0,94%"
"15/01/2026","742,00","741,00","750,00","739,10","36,59K","-0,92%"
"13/01/2026","748,90","753,00","753,00","745,00","19,46K","-0,41%"
"12/01/2026","752,00","750,00","760,00","750,00","53,10K","-1,64%"
"09/01/2026","764,50","752,20","764,90","752,20","132,71K","1,24%"
"08/01/2026","755,10","750,10","759,80","750,00","86,20K","-0,01%"
"07/01/2026","755,20","759,90","772,00","755,00","93,02K","-0,24%"
"06/01/2026","757,00","750,00","762,00","750,00","80,93K","1,07%"
"05/01/2026","749,00","730,50","750,00","730,50","146,35K","0,55%"
"02/01/2026","744,90","728,00","744,90","720,00","127,25K","2,03%"
"31/12/2025","730,10","723,10","732,00","723,10","77,09K","0,15%"
"30/12/2025","729,00","713,20","729,00","711,50","545,79K","1,53%"
"29/12/2025","718,00","752,00","752,00","670,00","94,04K","-0,28%"
"26/12/2025","720,00","740,00","750,00","720,00","278,54K","-2,83%"
"25/12/2025","741,00","742,50","755,00","741,00","71,46K","-1,20%"
"24/12/2025","750,00","751,00","755,00","750,00","36,44K","-0,53%"
"23/12/2025","754,00","750,00","759,00","745,00","3,38K","-0,79%"
"22/12/2025","760,00","763,90","764,10","755,00","19,14K","-0,52%"
"19/12/2025","764,00","750,00","764,00","742,10","160,69K","2,50%"
